id,consumption,hodge_id,hodge_s,excluded,local_inconsistency,global_inconsistency,self_assessed_wealth,hamlet,ranking_meeting,nhhrank,quota_final,maintreatment,elite_meeting,ranking_meeting_norm,HodgeCBT_targets,tradCBT_targets
226,1683.424,1,0.5396825397,226,0.1806729389,0.0,4.0,66,19,21,7,Full community,0.0,0.9047619047619048,Excluded,Excluded
239,353.0655,2,-0.0952380952,239,0.1829168319,0.0,3.0,66,12,21,7,Full community,0.0,0.5714285714285714,Excluded,Excluded
304,747.1846,3,0.5396825397,304,0.1803368941,0.0,,66,17,21,7,Full community,0.0,0.8095238095238095,Excluded,Excluded
310,347.9081,4,-0.4761904762,310,0.1807033332,0.0,3.0,66,5,21,7,Full community,0.0,0.23809523809523808,Included,Included
391,788.619,5,-0.2857142857,391,0.1876953792,0.0,2.0,66,9,21,7,Full community,0.0,0.42857142857142855,Included,Excluded
516,425.1633,6,0.253968254,516,0.1745877963,0.0,3.0,66,11,21,7,Full community,0.0,0.5238095238095238,Excluded,Excluded
653,260.2738,7,-0.8888888889,653,0.1814236111,0.0,2.0,66,6,21,7,Full community,0.0,0.2857142857142857,Included,Included
940,271.2333,8,0.8253968254,940,0.1977658089,0.0,3.0,66,21,21,7,Full community,0.0,1.0,Excluded,Excluded
5,670.3304,0,-0.4761904762,5,0.1752038014,0.0,5.0,67,9,12,3,Hybrid,0.0,0.75,Included,Excluded
318,285.6365,1,0.8571428571,318,0.1921722114,0.0,4.0,67,12,12,3,Hybrid,0.0,1.0,Excluded,Excluded
500,991.7381,2,-0.2380952381,500,0.1768832763,0.0,1.0,67,7,12,3,Hybrid,0.0,0.5833333333333334,Excluded,Excluded
539,307.3571,3,0.1904761905,539,0.1808363334,0.0,4.0,67,10,12,3,Hybrid,0.0,0.8333333333333334,Excluded,Excluded
858,117.0442,4,-0.2857142857,858,0.1986293277,0.0,3.0,67,6,12,3,Hybrid,0.0,0.5,Included,Excluded
898,194.028,5,-0.5714285714,898,0.189064305,0.0,4.0,67,8,12,3,Hybrid,0.0,0.6666666666666666,Included,Excluded
915,401.3095,6,0.5238095238,915,0.2031655844,0.0,2.0,67,11,12,3,Hybrid,0.0,0.9166666666666666,Excluded,Excluded
312,344.2976,0,0.5608465608,312,0.1757560511,0.0,3.0,68,66,97,32,Full community,0.0,0.6804123711340206,Excluded,Excluded
408,197.5119,1,-0.0423280423,408,0.1697997059,0.0,2.0,68,35,97,32,Full community,0.0,0.36082474226804123,Excluded,Excluded
